,655,,,,,,,1660
19,674,,,24,,,24,1636
19,693,,,23,,,25,1611
19,712,,,22,,,26,1585
20,732,,,21,,,27,1558
21,753,,,19,,,27,1531
21,774,,,19,,,28,1503
22,796,,,18,,,28,1475
22,818,,,16,,,27,1448
23,841,,,,,,27,1421
23,864,,,,,,27,1394
24,888,,,,,,26,1368
24,912,,,,,,26,1342
25,937,,,,,,26,1316
25,962,,,,,,25,1291
26,988,,,,,,25,1266
26,1014,,,,,,25,1241
27,1041,,,,,,24,1217
27,1068,,,,,,24,1193
28,1096,,,,,,24,1169
28,1124,,,,,,23,1146
29,1153,,,,,,23,1123
29,1182,,,,,,23,1100
29,1211,,,,,,22,1078
29,1240,,,,,,22,1056
28,1268,,,,,,22,1034
28,1296,,,,,,21,1013
28,1324,,,,,,21,992
27,1351,,,,,,21,971
28,1379,,,,,,20,951
27,1406,,,,,,20,931
27,1433,,,,,,20,911
26,1459,,,,,,19,892
26,1485,,,,,,19,873
26,1511,,,,,,19,854
26,1537,,,,,,18,836
25,1562,,,,,,20,816
25,1587,,,,,,19,797
25,1612,,,,,,19,778
24,1636,,,,,,19,759
24,1660,,,,,,,
